¿Quién gobernó la Unión Soviética de 1953 a 1964?,Leonid Brezhnev,Nikita Khrushchev,Leon Trotsky,Joseph Stalin,2,0.0,0,0,0
¿Qué río cruza la ciudad de Venecia?,Adriático,Brenta,Sile,Grande,4,0.0,0,0,0
¿Quién interpretó a Tony Stark en la saga de Marvel?,Chris Hemsworth,Chris Evans,Robert Downey Jr.,Mark Ruffalo,3,100.0,0,1,1
¿Qué sinfonía es conocida como la Danza Macabra?,Hector Berlioz,Ludwig van Beethoven,Wolfgang Amadeus Mozart,Camille Saint-Saëns,4,0.0,0,0,0
¿Qué dios de la mitología griega es conocido como el dios del mar?,Apolo,Artemisa,Poseidón,Ares,3,100.0,0,1,1
¿Qué invento de Eli Whitney revolucionó la agricultura?,Internet,Televisión,Desmotadora de algodón,Computadora,3,100.0,0,1,1
¿Qué sinfonía es conocida como la Novena Sinfonía?,Wolfgang Amadeus Mozart,Ludwig van Beethoven,Johann Sebastian Bach,Pyotr Ilyich Tchaikovsky,2,0.0,0,0,0
¿Quién gobernó Alemania de 1933 a 1945?,Joseph Goebbels,Hermann Göring,Joachim von Ribbentrop,Adolf Hitler,4,0.0,1,0,1
¿Qué monumento histórico es famoso en Italia?,Arco de Constantino,Coliseo Romano,Foro Romano,Pantheon,2,0.0,0,0,0
¿Quién interpretó a Luke Skywalker en la saga de Star Wars?,Mark Hamill,Harrison Ford,Carrie Fisher,Alec Guinness,1,0.0,0,0,0
¿Quién pintó la Noche Estrellada?,Paul Gauguin,Edvard Munch,Salvador Dalí,Vincent van Gogh,4,50.0,1,1,2
¿Qué sinfonía es conocida como la Sinfonía Fantástica?,Ludwig van Beethoven,Wolfgang Amadeus Mozart,Hector Berlioz,Johann Sebastian Bach,3,0.0,1,0,1
¿Qué equipo de fútbol ganó la Copa Mundial de 2010?,Países Bajos,Alemania,Argentina,España,4,0.0,0,0,0
¿Qué personaje de DC Comics es conocido como el superhéroe con capa?,Superman,Batman,Spider-Man,Iron Man,1,0.0,2,0,2
¿Quién interpretó a Michael Corleone en la saga de El Padrino?,Marlon Brando,Robert De Niro,James Caan,Al Pacino,4,0.0,0,0,0
¿Qué invento de Cyrus McCormick revolucionó la agricultura?,Computadora,Internet,Televisión,Segadora mecánica,4,0.0,0,0,0
¿Qué monumento histórico es famoso en Egipto?,Esfinxe de Giza,Templo de Karnak,Obelisco de Luxor,Pirámide de Keops,4,0.0,1,0,1
